;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
0;-59.0;-47.0;-48.0;-74.0;-76.0;-61.0;-76.0;-80.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:01:53:500
4;-57.0;-52.0;-48.0;-74.0;-77.0;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:01:53:928
10;-57.0;-47.0;-48.0;-74.0;-76.0;-61.0;-76.0;-80.0;-74.0;-84.0;-75.0;-82.0;1.0;3.1;00:01:54:671
12;-54.0;-55.0;-52.0;-74.0;-68.0;-67.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:01:54:873
14;-57.0;-47.0;-49.0;-73.0;-76.0;-60.0;-76.0;-80.0;-74.0;-85.0;-75.0;-82.0;1.0;3.1;00:01:55:082
16;-40.0;-55.0;-65.0;-74.0;-68.0;-67.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:01:55:290
18;-57.0;-52.0;-48.0;-74.0;-77.0;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:01:55:502
22;-57.0;-54.0;-51.0;-74.0;-76.0;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:01:55:921
24;-46.0;-47.0;-65.0;-74.0;-69.0;-67.0;-90.0;-74.0;-75.0;-80.0;-78.0;-82.0;1.0;3.1;00:01:56:131
26;-57.0;-52.0;-48.0;-74.0;-68.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:01:56:339
28;-54.0;-47.0;-65.0;-74.0;-76.0;-67.0;-89.0;-74.0;-75.0;-80.0;-75.0;-83.0;1.0;3.1;00:01:56:551
32;-54.0;-47.0;-65.0;-74.0;-77.0;-67.0;-76.0;-74.0;-75.0;-85.0;-75.0;-82.0;1.0;3.1;00:01:56:963
34;-47.0;-56.0;-48.0;-64.0;-68.0;-72.0;-86.0;-67.0;-81.0;-85.0;-78.0;-87.0;1.0;3.1;00:01:57:174
36;-54.0;-52.0;-65.0;-74.0;-77.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:01:57:389
38;-45.0;-56.0;-49.0;-65.0;-68.0;-72.0;-85.0;-70.0;-80.0;-84.0;-78.0;-86.0;1.0;3.1;00:01:57:594
40;-57.0;-47.0;-52.0;-73.0;-77.0;-67.0;-76.0;-74.0;-75.0;-79.0;-75.0;-82.0;1.0;3.1;00:01:57:806
42;-45.0;-56.0;-53.0;-74.0;-68.0;-72.0;-85.0;-70.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:01:58:018
44;-54.0;-47.0;-48.0;-73.0;-76.0;-61.0;-88.0;-81.0;-74.0;-80.0;-75.0;-82.0;1.0;3.1;00:01:58:227
46;-54.0;-55.0;-53.0;-74.0;-68.0;-72.0;-86.0;-70.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:01:58:440
48;-57.0;-47.0;-48.0;-73.0;-76.0;-60.0;-76.0;-81.0;-74.0;-84.0;-75.0;-82.0;1.0;3.1;00:01:58:647
50;-44.0;-55.0;-64.0;-74.0;-69.0;-67.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:01:58:863
52;-56.0;-52.0;-48.0;-73.0;-76.0;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:01:59:082
56;-57.0;-53.0;-48.0;-74.0;-76.0;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:01:59:490
60;-56.0;-53.0;-54.0;-74.0;-69.0;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;-85.0;1.0;3.1;00:01:59:910
62;-54.0;-47.0;-65.0;-74.0;-76.0;-67.0;-90.0;-74.0;-75.0;-79.0;-75.0;-82.0;1.0;3.1;00:02:00:127
66;-54.0;-47.0;-65.0;-74.0;-76.0;-67.0;-76.0;-76.0;-75.0;-79.0;-75.0;-82.0;1.0;3.1;00:02:00:544
68;-46.0;-55.0;-48.0;-64.0;-68.0;-72.0;-86.0;-67.0;-80.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:00:747
70;-54.0;-52.0;-65.0;-74.0;-76.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:00:960
72;-44.0;-56.0;-48.0;-66.0;-68.0;-72.0;-86.0;-70.0;-81.0;-84.0;-78.0;-86.0;1.0;3.1;00:02:01:167
74;-54.0;-47.0;-64.0;-73.0;-77.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:01:379
76;-46.0;-56.0;-53.0;-74.0;-69.0;-72.0;-86.0;-70.0;-80.0;-79.0;-78.0;-86.0;1.0;3.1;00:02:01:593
78;-57.0;-47.0;-48.0;-73.0;-76.0;-60.0;-89.0;-80.0;-74.0;-79.0;-75.0;-82.0;1.0;3.1;00:02:01:804
80;-54.0;-56.0;-53.0;-76.0;-68.0;-72.0;-84.0;-70.0;-81.0;-80.0;-78.0;-85.0;1.0;3.1;00:02:02:014
84;-54.0;-56.0;-54.0;-74.0;-68.0;-67.0;-85.0;-70.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:02:424
86;-57.0;-45.0;-49.0;-74.0;-76.0;-60.0;-76.0;-80.0;-74.0;-84.0;-77.0;-82.0;1.0;3.1;00:02:02:630
88;-46.0;-55.0;-65.0;-74.0;-69.0;-67.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:02:838
90;-57.0;-47.0;-48.0;-73.0;-76.0;-60.0;-76.0;-80.0;-74.0;-84.0;-75.0;-85.0;1.0;3.1;00:02:03:040
94;-57.0;-52.0;-48.0;-74.0;-76.0;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;-85.0;1.0;3.1;00:02:03:457
100;-57.0;-47.0;-48.0;-73.0;-76.0;-67.0;-76.0;-80.0;-74.0;-84.0;-75.0;-82.0;1.0;3.1;00:02:04:178
102;-46.0;-56.0;-54.0;-74.0;-68.0;-72.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:04:395
104;-57.0;-47.0;-48.0;-74.0;-76.0;-61.0;-89.0;-80.0;-74.0;-85.0;-75.0;-82.0;1.0;3.1;00:02:04:602
108;-54.0;-47.0;-48.0;-73.0;-76.0;-61.0;-76.0;-80.0;-74.0;-85.0;-75.0;-82.0;1.0;3.1;00:02:05:016
110;-46.0;-55.0;-65.0;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:05:223
112;-56.0;-47.0;-48.0;-73.0;-76.0;-60.0;-76.0;-80.0;-74.0;-85.0;-75.0;-85.0;1.0;3.1;00:02:05:426
116;-57.0;-53.0;-48.0;-73.0;-76.0;-72.0;-77.0;-80.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:05:842
120;-57.0;-52.0;-55.0;-74.0;-76.0;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;-85.0;1.0;3.1;00:02:06:252
124;-56.0;-52.0;-54.0;-73.0;-68.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:06:665
128;-54.0;-56.0;-55.0;-75.0;-69.0;-67.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:07:192
130;-57.0;-47.0;-48.0;-73.0;-76.0;-60.0;-75.0;-81.0;-74.0;-84.0;-75.0;-82.0;1.0;3.1;00:02:07:398
132;-46.0;-56.0;-55.0;-74.0;-68.0;-67.0;-86.0;-69.0;-81.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:07:599
134;-57.0;-47.0;-48.0;-73.0;-76.0;-60.0;-75.0;-81.0;-73.0;-86.0;-75.0;-83.0;1.0;3.1;00:02:07:805
138;-54.0;-52.0;-48.0;-73.0;-76.0;-72.0;-75.0;-80.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:02:08:226
142;-54.0;-52.0;-54.0;-73.0;-68.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:08:654
144;-46.0;-47.0;-65.0;-74.0;-69.0;-67.0;-90.0;-74.0;-75.0;-80.0;-78.0;-82.0;1.0;3.1;00:02:08:861
146;-59.0;-55.0;-48.0;-73.0;-68.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:09:070
148;-54.0;-47.0;-65.0;-74.0;-77.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:09:285
150;-46.0;-56.0;-48.0;-64.0;-68.0;-72.0;-86.0;-67.0;-80.0;-84.0;-78.0;-86.0;1.0;3.1;00:02:09:497
154;-46.0;-55.0;-48.0;-68.0;-68.0;-72.0;-86.0;-70.0;-80.0;-84.0;-78.0;-86.0;1.0;3.1;00:02:09:911
156;-54.0;-47.0;-65.0;-73.0;-77.0;-67.0;-76.0;-74.0;-75.0;-85.0;-75.0;-82.0;1.0;3.1;00:02:10:120
158;-46.0;-56.0;-53.0;-74.0;-68.0;-72.0;-86.0;-69.0;-80.0;-80.0;-78.0;-85.0;1.0;3.1;00:02:10:332
162;-46.0;-56.0;-53.0;-74.0;-68.0;-72.0;-86.0;-71.0;-80.0;-80.0;-78.0;-85.0;1.0;3.1;00:02:10:748
164;-57.0;-47.0;-48.0;-73.0;-77.0;-60.0;-89.0;-81.0;-74.0;-84.0;-75.0;-82.0;1.0;3.1;00:02:10:954
166;-55.0;-56.0;-54.0;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-80.0;-78.0;-85.0;1.0;3.1;00:02:11:163
168;-57.0;-47.0;-48.0;-73.0;-77.0;-63.0;-76.0;-81.0;-74.0;-84.0;-75.0;-82.0;1.0;3.1;00:02:11:367
170;-46.0;-55.0;-55.0;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-80.0;-78.0;-85.0;1.0;3.1;00:02:11:580
172;-56.0;-54.0;-48.0;-74.0;-77.0;-72.0;-76.0;-81.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:02:11:789
176;-57.0;-52.0;-48.0;-73.0;-77.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-85.0;1.0;3.1;00:02:12:214
180;-57.0;-52.0;-48.0;-75.0;-68.0;-72.0;-76.0;-81.0;-74.0;-85.0;-75.0;-85.0;1.0;3.1;00:02:12:631
182;-54.0;-47.0;-65.0;-74.0;-70.0;-66.0;-90.0;-76.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:12:848
184;-46.0;-55.0;-48.0;-73.0;-69.0;-72.0;-85.0;-80.0;-80.0;-84.0;-75.0;-85.0;1.0;3.1;00:02:13:058
186;-54.0;-50.0;-65.0;-74.0;-77.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:13:273
188;-46.0;-56.0;-48.0;-67.0;-69.0;-72.0;-85.0;-70.0;-80.0;-84.0;-79.0;-86.0;1.0;3.1;00:02:13:488
190;-54.0;-47.0;-65.0;-73.0;-78.0;-67.0;-75.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:13:693
192;-46.0;-56.0;-48.0;-66.0;-69.0;-72.0;-85.0;-70.0;-80.0;-85.0;-79.0;-86.0;1.0;3.1;00:02:13:900
194;-57.0;-47.0;-48.0;-73.0;-77.0;-67.0;-76.0;-81.0;-74.0;-85.0;-75.0;-82.0;1.0;3.1;00:02:14:116
198;-56.0;-47.0;-48.0;-73.0;-77.0;-60.0;-75.0;-81.0;-74.0;-85.0;-75.0;-82.0;1.0;3.1;00:02:14:543
200;-54.0;-56.0;-52.0;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:14:751
202;-57.0;-47.0;-48.0;-73.0;-77.0;-61.0;-75.0;-81.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:14:966
206;-57.0;-50.0;-48.0;-73.0;-77.0;-72.0;-75.0;-81.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:02:15:390
210;-54.0;-56.0;-51.0;-74.0;-68.0;-72.0;-86.0;-70.0;-80.0;-80.0;-79.0;-86.0;1.0;3.1;00:02:15:923
212;-57.0;-47.0;-48.0;-73.0;-77.0;-60.0;-75.0;-81.0;-74.0;-84.0;-75.0;-82.0;1.0;3.1;00:02:16:137
214;-46.0;-55.0;-54.0;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-80.0;-78.0;-85.0;1.0;3.1;00:02:16:350
216;-57.0;-52.0;-48.0;-73.0;-77.0;-72.0;-76.0;-81.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:02:16:564
224;-57.0;-52.0;-48.0;-73.0;-68.0;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:17:411
226;-54.0;-47.0;-65.0;-74.0;-76.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:17:619
228;-46.0;-55.0;-48.0;-73.0;-68.0;-72.0;-85.0;-80.0;-80.0;-84.0;-75.0;-85.0;1.0;3.1;00:02:17:829
230;-54.0;-47.0;-65.0;-74.0;-77.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:18:037
232;-46.0;-56.0;-48.0;-65.0;-68.0;-72.0;-85.0;-67.0;-80.0;-85.0;-78.0;-86.0;1.0;3.1;00:02:18:248
234;-54.0;-52.0;-64.0;-73.0;-77.0;-67.0;-75.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:18:460
238;-57.0;-47.0;-48.0;-73.0;-77.0;-73.0;-90.0;-81.0;-74.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:18:894
242;-57.0;-47.0;-48.0;-73.0;-79.0;-61.0;-90.0;-81.0;-74.0;-84.0;-75.0;-82.0;1.0;3.1;00:02:19:310
244;-54.0;-55.0;-53.0;-74.0;-68.0;-67.0;-84.0;-70.0;-80.0;-80.0;-79.0;-85.0;1.0;3.1;00:02:19:513
246;-54.0;-47.0;-48.0;-73.0;-77.0;-60.0;-76.0;-81.0;-74.0;-84.0;-75.0;-82.0;1.0;3.1;00:02:19:717
248;-40.0;-55.0;-55.0;-74.0;-68.0;-67.0;-85.0;-70.0;-80.0;-80.0;-79.0;-86.0;1.0;3.1;00:02:19:921
250;-57.0;-47.0;-48.0;-73.0;-77.0;-61.0;-76.0;-81.0;-74.0;-86.0;-75.0;-82.0;1.0;3.1;00:02:20:129
254;-57.0;-51.0;-54.0;-73.0;-77.0;-72.0;-75.0;-81.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:02:20:557
260;-57.0;-47.0;-48.0;-73.0;-77.0;-61.0;-89.0;-81.0;-74.0;-84.0;-75.0;-82.0;1.0;3.1;00:02:21:289
262;-54.0;-56.0;-54.0;-74.0;-68.0;-72.0;-86.0;-70.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:21:497
264;-57.0;-47.0;-48.0;-73.0;-77.0;-61.0;-76.0;-81.0;-74.0;-85.0;-75.0;-82.0;1.0;3.1;00:02:21:709
266;-46.0;-56.0;-53.0;-74.0;-68.0;-66.0;-85.0;-71.0;-81.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:21:912
268;-57.0;-47.0;-48.0;-73.0;-77.0;-61.0;-76.0;-81.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:02:22:122
272;-57.0;-52.0;-48.0;-73.0;-77.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:22:545
276;-57.0;-52.0;-54.0;-73.0;-68.0;-72.0;-75.0;-81.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:02:22:962
278;-46.0;-47.0;-65.0;-74.0;-70.0;-67.0;-89.0;-74.0;-75.0;-79.0;-78.0;-83.0;1.0;3.1;00:02:23:172
280;-59.0;-55.0;-48.0;-73.0;-68.0;-72.0;-76.0;-81.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:02:23:381
282;-54.0;-47.0;-65.0;-74.0;-77.0;-68.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:23:588
284;-46.0;-55.0;-48.0;-73.0;-68.0;-72.0;-85.0;-67.0;-80.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:23:798
286;-54.0;-52.0;-65.0;-74.0;-77.0;-67.0;-76.0;-74.0;-75.0;-79.0;-75.0;-82.0;1.0;3.1;00:02:24:009
288;-46.0;-55.0;-48.0;-66.0;-68.0;-72.0;-85.0;-67.0;-80.0;-85.0;-78.0;-87.0;1.0;3.1;00:02:24:214
290;-54.0;-47.0;-65.0;-73.0;-77.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:24:427
292;-46.0;-55.0;-52.0;-64.0;-68.0;-72.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:24:641
294;-54.0;-47.0;-48.0;-73.0;-77.0;-67.0;-75.0;-80.0;-74.0;-80.0;-75.0;-83.0;1.0;3.1;00:02:24:851
300;-54.0;-47.0;-65.0;-74.0;-78.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:25:585
302;-47.0;-55.0;-48.0;-65.0;-68.0;-72.0;-86.0;-67.0;-80.0;-84.0;-79.0;-87.0;1.0;3.1;00:02:25:797
304;-54.0;-47.0;-65.0;-74.0;-78.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:26:000
306;-48.0;-56.0;-48.0;-66.0;-68.0;-72.0;-85.0;-70.0;-80.0;-85.0;-78.0;-86.0;1.0;3.1;00:02:26:205
308;-54.0;-47.0;-65.0;-74.0;-77.0;-67.0;-75.0;-74.0;-75.0;-84.0;-75.0;-82.0;1.0;3.1;00:02:26:416
310;-46.0;-55.0;-53.0;-64.0;-68.0;-72.0;-86.0;-70.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:26:629
314;-46.0;-55.0;-55.0;-74.0;-68.0;-72.0;-86.0;-70.0;-80.0;-80.0;-80.0;-87.0;1.0;3.1;00:02:27:040
316;-57.0;-47.0;-48.0;-74.0;-78.0;-60.0;-89.0;-81.0;-74.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:27:245
318;-54.0;-55.0;-55.0;-75.0;-69.0;-72.0;-85.0;-70.0;-79.0;-80.0;-79.0;-86.0;1.0;3.1;00:02:27:459
320;-57.0;-47.0;-48.0;-74.0;-78.0;-60.0;-75.0;-80.0;-74.0;-85.0;-75.0;-82.0;1.0;3.1;00:02:27:674
322;-54.0;-56.0;-53.0;-75.0;-68.0;-67.0;-85.0;-70.0;-80.0;-79.0;-79.0;-86.0;1.0;3.1;00:02:27:881
324;-59.0;-52.0;-48.0;-74.0;-77.0;-72.0;-76.0;-80.0;-74.0;-84.0;-77.0;-86.0;1.0;3.1;00:02:28:093
328;-57.0;-52.0;-54.0;-74.0;-78.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-87.0;1.0;3.1;00:02:28:515
332;-57.0;-52.0;-48.0;-74.0;-69.0;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:28:934
336;-59.0;-55.0;-48.0;-74.0;-69.0;-72.0;-85.0;-81.0;-79.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:29:354
338;-54.0;-47.0;-65.0;-75.0;-78.0;-67.0;-75.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:29:564
342;-54.0;-52.0;-65.0;-74.0;-78.0;-67.0;-76.0;-76.0;-75.0;-80.0;-77.0;-82.0;1.0;3.1;00:02:29:981
344;-46.0;-55.0;-48.0;-68.0;-68.0;-72.0;-85.0;-70.0;-80.0;-84.0;-79.0;-86.0;1.0;3.1;00:02:30:198
346;-56.0;-47.0;-52.0;-73.0;-78.0;-67.0;-75.0;-74.0;-75.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:30:406
348;-47.0;-55.0;-53.0;-74.0;-68.0;-72.0;-86.0;-70.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:30:617
350;-56.0;-47.0;-48.0;-73.0;-77.0;-61.0;-90.0;-81.0;-74.0;-80.0;-75.0;-82.0;1.0;3.1;00:02:30:823
352;-54.0;-55.0;-53.0;-74.0;-68.0;-72.0;-86.0;-70.0;-80.0;-80.0;-78.0;-86.0;1.0;3.1;00:02:31:037
354;-57.0;-47.0;-48.0;-74.0;-78.0;-61.0;-75.0;-81.0;-74.0;-85.0;-75.0;-82.0;1.0;3.1;00:02:31:241
356;-46.0;-55.0;-52.0;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-79.0;-78.0;-86.0;1.0;3.1;00:02:31:456
358;-57.0;-52.0;-49.0;-74.0;-77.0;-72.0;-75.0;-81.0;-74.0;-84.0;-75.0;-87.0;1.0;3.1;00:02:31:668
362;-59.0;-52.0;-53.0;-73.0;-77.0;-72.0;-75.0;-81.0;-74.0;-85.0;-75.0;-86.0;1.0;3.1;00:02:32:090
364;-46.0;-47.0;-64.0;-74.0;-70.0;-67.0;-90.0;-74.0;-75.0;-80.0;-79.0;-83.0;1.0;3.1;00:02:32:305
366;-57.0;-52.0;-48.0;-73.0;-68.0;-72.0;-75.0;-81.0;-74.0;-84.0;-75.0;-86.0;1.0;3.1;00:02:32:515
