;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
0;-59.0;-47.0;;-74.0;-76.0;-61.0;-76.0;-80.0;-74.0;-110.0;-75.0;;1.0;3.1;00:01:53:500
1;;-56.0;-48.0;-68.0;-68.0;-72.0;-85.0;-67.0;-80.0;-85.0;;-86.0;1.0;3.1;00:01:53:605
2;-46.0;;-65.0;-74.0;-68.0;;;-74.0;-80.0;;-78.0;-87.0;1.0;3.1;00:01:53:711
3;-54.0;-47.0;-65.0;;-76.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:01:53:818
4;-57.0;-52.0;;-74.0;-77.0;;-76.0;-80.0;-74.0;-85.0;-75.0;;1.0;3.1;00:01:53:928
5;;-56.0;-48.0;-65.0;-68.0;-72.0;-85.0;-69.0;-80.0;-85.0;-79.0;-86.0;1.0;3.1;00:01:54:028
6;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-73.0;-75.0;-110.0;-79.0;;1.0;3.1;00:01:54:138
7;-57.0;-47.0;;-110.0;-76.0;-73.0;-110.0;;-74.0;-110.0;;-82.0;1.0;3.1;00:01:54:246
8;;-56.0;-55.0;;-68.0;-72.0;-86.0;-69.0;-80.0;;-78.0;-86.0;1.0;3.1;00:01:54:457
9;-110.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:01:54:562
10;-57.0;-47.0;;-74.0;-76.0;-61.0;-76.0;-80.0;-74.0;;-75.0;-82.0;1.0;3.1;00:01:54:671
11;;-55.0;-48.0;-74.0;;-72.0;-85.0;-80.0;;-84.0;-75.0;;1.0;3.1;00:01:54:772
12;;-55.0;-52.0;-74.0;-68.0;;-85.0;-69.0;-80.0;;-78.0;-86.0;1.0;3.1;00:01:54:873
13;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-83.0;1.0;3.1;00:01:54:977
14;-57.0;-47.0;;-73.0;-76.0;-60.0;-76.0;-80.0;-74.0;-110.0;-75.0;-82.0;1.0;3.1;00:01:55:082
15;;-55.0;-49.0;-65.0;-68.0;-72.0;-85.0;-67.0;-80.0;-85.0;;-86.0;1.0;3.1;00:01:55:187
16;-40.0;-55.0;-65.0;-74.0;-68.0;;-85.0;-69.0;-80.0;;-78.0;-86.0;1.0;3.1;00:01:55:290
17;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:01:55:393
18;-57.0;-52.0;;-74.0;-77.0;;-76.0;-80.0;-74.0;-85.0;-75.0;;1.0;3.1;00:01:55:502
19;;-55.0;-48.0;-65.0;-68.0;-72.0;-86.0;-69.0;-80.0;-84.0;;-86.0;1.0;3.1;00:01:55:611
20;-40.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-81.0;-80.0;-78.0;;1.0;3.1;00:01:55:715
21;-57.0;-47.0;-52.0;;-76.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:01:55:818
22;-57.0;-54.0;;-74.0;-76.0;;-76.0;-80.0;-74.0;-85.0;-75.0;;1.0;3.1;00:01:55:921
23;;-55.0;-51.0;;-68.0;-72.0;-86.0;-69.0;-80.0;;-78.0;-86.0;1.0;3.1;00:01:56:022
24;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-75.0;-80.0;-78.0;;1.0;3.1;00:01:56:131
25;-57.0;-47.0;;-74.0;-76.0;-61.0;-90.0;-81.0;-74.0;-79.0;;-82.0;1.0;3.1;00:01:56:236
26;-57.0;-52.0;-48.0;-74.0;;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;;1.0;3.1;00:01:56:339
27;;-56.0;-53.0;;-68.0;-72.0;-86.0;-71.0;-80.0;;-78.0;-86.0;1.0;3.1;00:01:56:446
28;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-83.0;1.0;3.1;00:01:56:551
29;-59.0;-47.0;;-74.0;-76.0;-61.0;-89.0;-81.0;-74.0;;-75.0;-82.0;1.0;3.1;00:01:56:654
30;;-56.0;-49.0;-74.0;;-72.0;-86.0;-81.0;;-84.0;-75.0;;1.0;3.1;00:01:56:758
31;;-56.0;-52.0;-74.0;-68.0;;-86.0;-70.0;-81.0;;-78.0;-86.0;1.0;3.1;00:01:56:860
32;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-110.0;;-82.0;1.0;3.1;00:01:56:963
33;-56.0;-47.0;;-74.0;-77.0;-60.0;-76.0;-81.0;-74.0;-85.0;-75.0;-82.0;1.0;3.1;00:01:57:073
