;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
0;-69.0;-72.0;-64.0;-63.0;-65.0;-67.0;-83.0;-75.0;-77.0;-80.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:18:873
2;-80.0;-69.0;-78.0;-63.0;-61.0;-67.0;-82.0;-83.0;-76.0;-82.0;-85.0;-83.0;10.0;3.1000000000000005;00:01:19:088
6;-80.0;-73.0;-78.0;-62.0;-61.0;-58.0;-70.0;-75.0;-76.0;-82.0;-77.0;-83.0;10.0;3.1000000000000005;00:01:19:513
10;-80.0;-73.0;-78.0;-63.0;-61.0;-58.0;-70.0;-75.0;-77.0;-82.0;-87.0;-83.0;10.0;3.1000000000000005;00:01:19:935
12;-69.0;-70.0;-64.0;-65.0;-61.0;-68.0;-82.0;-83.0;-77.0;-80.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:20:143
20;-80.0;-69.0;-64.0;-64.0;-61.0;-69.0;-82.0;-82.0;-70.0;-77.0;-85.0;-85.0;10.0;3.1000000000000005;00:01:20:979
24;-80.0;-69.0;-64.0;-62.0;-61.0;-68.0;-82.0;-75.0;-70.0;-77.0;-84.0;-85.0;10.0;3.1000000000000005;00:01:21:405
26;-89.0;-73.0;-78.0;-64.0;-65.0;-67.0;-81.0;-75.0;-76.0;-80.0;-77.0;-88.0;10.0;3.1000000000000005;00:01:21:616
34;-69.0;-73.0;-65.0;-65.0;-65.0;-67.0;-82.0;-74.0;-77.0;-81.0;-77.0;-87.0;10.0;3.1000000000000005;00:01:22:456
36;-80.0;-68.0;-78.0;-61.0;-61.0;-67.0;-82.0;-82.0;-76.0;-82.0;-76.0;-83.0;10.0;3.1000000000000005;00:01:22:670
40;-80.0;-73.0;-78.0;-62.0;-61.0;-58.0;-70.0;-75.0;-76.0;-82.0;-77.0;-83.0;10.0;3.1000000000000005;00:01:23:095
44;-80.0;-73.0;-78.0;-63.0;-61.0;-58.0;-70.0;-75.0;-77.0;-82.0;-86.0;-83.0;10.0;3.1000000000000005;00:01:23:513
46;-69.0;-69.0;-64.0;-64.0;-61.0;-68.0;-81.0;-83.0;-77.0;-81.0;-84.0;-89.0;10.0;3.1000000000000005;00:01:23:720
48;-80.0;-73.0;-78.0;-63.0;-65.0;-67.0;-70.0;-75.0;-77.0;-82.0;-86.0;-83.0;10.0;3.1000000000000005;00:01:23:922
50;-69.0;-67.0;-64.0;-64.0;-61.0;-68.0;-81.0;-82.0;-77.0;-83.0;-84.0;-86.0;10.0;3.1000000000000005;00:01:24:131
54;-80.0;-66.0;-65.0;-64.0;-61.0;-68.0;-82.0;-82.0;-70.0;-86.0;-85.0;-86.0;10.0;3.1000000000000005;00:01:24:542
58;-80.0;-69.0;-64.0;-64.0;-61.0;-68.0;-82.0;-75.0;-70.0;-77.0;-84.0;-85.0;10.0;3.1000000000000005;00:01:24:969
60;-69.0;-73.0;-77.0;-65.0;-65.0;-67.0;-81.0;-75.0;-76.0;-82.0;-86.0;-83.0;10.0;3.1000000000000005;00:01:25:176
64;-69.0;-73.0;-64.0;-63.0;-65.0;-67.0;-81.0;-74.0;-77.0;-80.0;-77.0;-87.0;10.0;3.1000000000000005;00:01:25:604
68;-68.0;-73.0;-65.0;-63.0;-65.0;-67.0;-82.0;-74.0;-77.0;-81.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:26:024
70;-80.0;-69.0;-78.0;-63.0;-61.0;-67.0;-83.0;-83.0;-76.0;-77.0;-85.0;-84.0;10.0;3.1000000000000005;00:01:26:235
74;-76.0;-70.0;-67.0;-62.0;-61.0;-58.0;-70.0;-75.0;-76.0;-81.0;-77.0;-83.0;10.0;3.1000000000000005;00:01:26:658
78;-76.0;-73.0;-76.0;-58.0;-60.0;-58.0;-70.0;-75.0;-76.0;-82.0;-86.0;-83.0;10.0;3.1000000000000005;00:01:27:076
82;-76.0;-73.0;-76.0;-65.0;-61.0;-58.0;-70.0;-75.0;-77.0;-82.0;-86.0;-83.0;10.0;3.1000000000000005;00:01:27:486
84;-69.0;-69.0;-64.0;-65.0;-60.0;-68.0;-81.0;-83.0;-77.0;-80.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:27:696
86;-76.0;-73.0;-75.0;-63.0;-66.0;-68.0;-70.0;-75.0;-77.0;-82.0;-86.0;-83.0;10.0;3.1000000000000005;00:01:27:898
88;-69.0;-67.0;-64.0;-66.0;-60.0;-68.0;-82.0;-82.0;-77.0;-83.0;-84.0;-87.0;10.0;3.1000000000000005;00:01:28:107
92;-75.0;-69.0;-64.0;-65.0;-61.0;-68.0;-82.0;-83.0;-70.0;-83.0;-84.0;-88.0;10.0;3.1000000000000005;00:01:28:521
96;-75.0;-69.0;-64.0;-65.0;-61.0;-69.0;-82.0;-75.0;-70.0;-77.0;-84.0;-87.0;10.0;3.1000000000000005;00:01:28:948
